"T_c (C)";"q_dot_in (MW)";"q_dot_solar (MW)";"q_dot_out (MW)";"T_amb (°C)";"I (W/m2)";"phi (eur/Wh)"
342.3225009068;0.7840;0.0139;0.7603;1.7;17;0.0000
355.3261007684;0.7903;0.0507;0.7868;6.7;62;0.0000
359.3568281638;0.7944;0.0499;0.7928;10;61;0.0000
423.5936025068;0.8015;0.3221;0.9462;15.6;394;1.5812
393.5666399477;0.8049;0.1349;0.8680;18.3;165;3.6248
359.34012041;0.8035;0.0049;0.7837;17.2;6;0.0000
356.8905574396;0.8049;0.0090;0.7762;18.3;11;0.0000
355.0072814019;0.8049;0.0016;0.7714;18.3;2;0.0000
354.9705958817;0.8029;0.0082;0.7734;16.7;10;0.0000
352.5067259483;0.8007;0.0033;0.7693;15;4;0.0000
348.7800747137;0.7966;0.0000;0.7640;11.7;0;0.0000
347.8978230677;0.7958;0.0000;0.7626;11.1;0;0.0000
347.3924814642;0.7952;0.0000;0.7619;10.6;0;0.0000
346.8502626196;0.7944;0.0000;0.7613;10;0;0.0000
345.8949101125;0.7931;0.0000;0.7603;8.9;0;0.0000
346.2098343397;0.7937;0.0000;0.7604;9.4;0;0.0000
345.3355077868;0.7923;0.0000;0.7596;8.3;0;0.0000
344.350317239;0.7909;0.0000;0.7585;7.2;0;0.0000
344.7429044386;0.7917;0.0000;0.7587;7.8;0;0.0000
344.7775289251;0.7917;0.0000;0.7588;7.8;0;0.0000
344.2908810929;0.7909;0.0000;0.7584;7.2;0;0.0000
344.7355121894;0.7917;0.0000;0.7587;7.8;0;0.0000
344.7768317777;0.7917;0.0000;0.7588;7.8;0;0.0000
346.7295269414;0.7909;0.0106;0.7645;7.2;13;0.0000
420.9144568459;0.7903;0.3491;0.9507;6.7;427;1.4274
448.1470814266;0.7931;0.4341;1.0160;8.9;531;1.0268
504.9108958544;0.7966;0.7300;1.1556;11.7;893;0.6377
511.4143845788;0.7986;0.7284;1.1700;13.3;891;0.6162
489.4882418658;0.8021;0.5788;1.1109;16.1;708;0.7412
526.8196474535;0.8042;0.8224;1.2035;17.8;1006;0.5733
527.8732883645;0.8035;0.8069;1.2070;17.2;987;0.5673
492.3473800487;0.8021;0.5853;1.1182;16.1;716;0.7242
415.0200072026;0.8015;0.2052;0.9249;15.6;251;1.8552
370.6377522565;0.7986;0.0572;0.8170;13.3;70;12.4438
351.3124741324;0.7972;0.0000;0.7698;12.2;0;0.0000
348.123281443;0.7958;0.0000;0.7631;11.1;0;0.0000
346.4287092319;0.7937;0.0000;0.7610;9.4;0;0.0000
344.9535064486;0.7917;0.0000;0.7593;7.8;0;0.0000
344.3131162289;0.7909;0.0000;0.7584;7.2;0;0.0000
342.4409783146;0.7882;0.0000;0.7565;5;0;0.0000
344.5535010198;0.7917;0.0000;0.7583;7.8;0;0.0000
344.7520354813;0.7917;0.0000;0.7588;7.8;0;0.0000
344.2883709698;0.7909;0.0000;0.7584;7.2;0;0.0000
344.2433629795;0.7909;0.0000;0.7582;7.2;0;0.0000
343.8269713528;0.7903;0.0000;0.7578;6.7;0;0.0000
342.8840581625;0.7889;0.0000;0.7568;5.6;0;0.0000
342.7906074055;0.7889;0.0000;0.7566;5.6;0;0.0000
342.9657570545;0.7889;0.0008;0.7570;5.6;1;0.0000
343.1765756649;0.7889;0.0016;0.7576;5.6;2;0.0000
344.4807602985;0.7903;0.0033;0.7595;6.7;4;0.0000
347.2437341884;0.7923;0.0090;0.7644;8.3;11;0.0000
347.2991552171;0.7931;0.0057;0.7638;8.9;7;0.0000
346.6064718328;0.7923;0.0049;0.7628;8.3;6;0.0000
343.7934228113;0.7895;0.0008;0.7585;6.1;1;0.0000
344.4263673958;0.7895;0.0049;0.7601;6.1;6;0.0000
367.0195719094;0.7909;0.0997;0.8156;7.2;122;9.2921
356.1209378646;0.7903;0.0409;0.7888;6.7;50;0.0000
368.363372283;0.7903;0.1014;0.8196;6.7;124;7.8250
346.0106335388;0.7889;0.0000;0.7647;5.6;0;0.0000
343.0895058469;0.7889;0.0000;0.7573;5.6;0;0.0000
342.8013847801;0.7889;0.0000;0.7566;5.6;0;0.0000
342.7782947728;0.7889;0.0000;0.7566;5.6;0;0.0000
342.7767085267;0.7889;0.0000;0.7566;5.6;0;0.0000
342.7766119042;0.7889;0.0000;0.7566;5.6;0;0.0000
342.2842374782;0.7882;0.0000;0.7561;5;0;0.0000
342.2362470559;0.7882;0.0000;0.7559;5;0;0.0000
342.7220269843;0.7889;0.0000;0.7564;5.6;0;0.0000
342.7693487122;0.7889;0.0000;0.7565;5.6;0;0.0000
342.2835273569;0.7882;0.0000;0.7561;5;0;0.0000
342.2361906635;0.7882;0.0000;0.7559;5;0;0.0000
341.7371530811;0.7874;0.0000;0.7554;4.4;0;0.0000
342.9322560431;0.7882;0.0033;0.7577;5;4;0.0000
434.7598064797;0.7868;0.4300;0.9887;3.9;526;1.1334
487.7068708661;0.7889;0.6573;1.1197;5.6;804;0.6920
503.2075240071;0.7903;0.7153;1.1576;6.7;875;0.6232
518.6242383446;0.7917;0.8012;1.1954;7.8;980;0.5670
523.7603305301;0.7931;0.8208;1.2071;8.9;1004;0.5529
522.8840677193;0.7937;0.8093;1.2042;9.4;990;0.5576
521.3651988246;0.7944;0.7971;1.1996;10;975;0.5650
517.2827835608;0.7944;0.7709;1.1892;10;943;0.5799
502.4364615289;0.7937;0.6810;1.1522;9.4;833;0.6385
